Location,15-19,20-24,25-29,30-34,35-39,40-44,45-49
Dem.People'sRepublicofKorea,0.3,44.1,192.7,128.8,14,1.8,0.3
Japan,3.8,27.6,77.1,97.9,55.8,11.6,0.3
Mongolia,31,151.4,161.8,130.1,83.1,21.8,1.3
Republic of Korea,1.4,11.6,45.8,105.5,52.9,4.7,0.2
South-EasternAsia,43,111.2,119.9,95.7,53,17.5,4
BruneiDarussalam,10.3,53,118.2,112.3,60.2,14.5,1.1
Cambodia,50.2,163.1,146.1,91.7,39.4,11.1,3.3
Indonesia,47.4,120.4,122.9,96,55.2,17.1,4.9
LaoPeople'sDemocraticRepublic,65.4,162.1,150.1,91.6,50,16.8,4
Malaysia,13.4,45.4,118.6,128.5,74.8,19.6,1.7
Myanmar,28.5,94.9,113.3,98.6,64.9,27.5,6.2
Philippines,54.2,123.8,117.8,109.6,71.7,31.6,7.3
Singapore,3.5,19.5,70.9,93.4,46.1,8.1,0.3
Thailand,44.9,75.9,80.4,67.5,29.9,7.4,1
Timor-Leste,33.8,165.2,223.2,196.2,124.4,55.9,21.3
VietNam,30.9,114.3,135.1,85.5,34.9,9.2,1.1
LatinAmericaandtheCaribbean,63,105.2,101.9,78.1,45.2,13.6,2
Caribbean,60.1,114.5,112.8,84.6,49.2,16.9,2.2
AntiguaandBarbuda,42.8,98.3,123.3,86.4,40.2,8.5,0.6
Aruba,22.7,82.3,123.3,101.4,43.2,6.7,0.4
Bahamas,30,96.7,83.7,67.8,53.1,17.8,3
Barbados,33.6,70.5,76,71.6,53.4,16.7,2.2
Cuba,51.6,95.9,87.7,57.2,25.5,5.1,0.3
Curaçao,27.9,82.4,100.2,85.4,43.8,11.9,0.3
DominicanRepublic,94.3,143.9,115.5,76.1,31.9,8.3,1.9
Grenada,29.2,92.1,135.9,97.4,47.2,12.1,0.6
Guadeloupe,15.5,73.4,121.6,134,70,17.3,2.2
Haiti,51.7,119.3,142.8,126.7,93.2,50.6,7.8
Jamaica,52.8,100.8,106.6,71,53.3,12.1,1.7
Martinique,10.6,47.2,116.8,125.1,63.7,12.3,0.3
PuertoRico,29.1,76.6,65.6,46.2,21.8,4.5,0.2
SaintLucia,40.5,68.3,74.9,59,33.6,12.2,0.3
SaintVincentandtheGrenadines,49,101.2,112.3,74.3,35.1,8.1,0.3
TrinidadandTobago,30.1,89.2,104.5,75.9,35.7,9.3,1.3
UnitedStatesVirginIslands,28.9,99.6,133.8,70,60.8,15.6,0.6
CentralAmerica,64,122.2,120.1,81.9,44.6,11.9,2.3
