Albania,15.476,15.974,16.258,16.366,16.947,16.452,15.979,15.555,15.206,14.897,14.588,14.632,15.187,16.085,16.979,17.913,18.836,19.679,20.452,21.225,21.976,22.592,23.02,23.284,23.471,23.576,23.489,23.169,22.661,22.113,21.566,20.771,19.641,18.334,17.071,15.785,14.881,14.576,14.694,14.805,14.953,15.271,15.769,16.383,17.057,17.821,18.402,18.665,18.726,18.813,18.845,19.013,19.423,19.956,20.393,20.781,20.979,20.895,20.595,20.265,19.9,19.355,18.587,17.67,16.727,15.742,14.812,14.002,13.282,12.534,11.755,11.125,10.713,10.433,10.145,9.892,9.506,8.894,8.139,7.423,6.717,6.021,5.356,4.721,4.091,3.471,2.916,2.449,2.054,1.646,1.333,1.104,0.842,0.549,0.338,0.248,0.195,0.137,0.072,0.032,0.034,,
Algeria,498.22,498.788,495.898,489.903,476.158,467.603,456.478,443.148,427.976,411.824,395.551,377.038,355.655,333.255,311.942,290.833,276.515,272.338,275.43,278.84,283.083,290.745,302.129,315.82,330.143,345.494,357.599,364.172,366.82,369.43,371.219,371.73,371.124,369.286,366.195,362.154,355.942,347.047,336.226,324.939,313.121,301.075,289.174,277.483,265.572,253.379,242.708,234.368,227.616,220.831,214.257,207.803,201.237,194.602,188.311,182.444,175.868,168.116,159.723,151.481,142.971,135.886,131.065,127.586,123.976,120.871,115.89,107.807,97.916,88.576,79.124,71.568,67.083,64.622,61.927,59.413,56.729,53.463,49.837,46.552,43.548,40.181,36.225,31.94,27.83,23.818,20.102,16.836,13.951,10.863,8.333,6.769,5.149,3.447,2.272,1.747,1.383,0.99,0.566,0.298,0.419,,
Andean Community,945.972,927.582,913.852,904.302,894.588,895.139,897.463,901.197,905.972,912.041,919.649,925.359,927.571,927.766,928.478,928.544,931.561,939.355,949.804,958.881,967.312,972.975,974.383,972.413,969.922,966.929,960.097,948.239,932.965,916.998,899.708,883.828,870.967,859.937,847.9,835.382,822.701,809.724,796.48,783.352,770.519,756.66,741.24,724.972,708.807,692.195,677.669,666.473,657.277,647.469,637.514,626.351,613.163,598.422,583.746,569.212,552.615,533.146,511.906,490.48,468.162,448.219,432.32,418.811,404.787,391.326,375.083,354.258,330.736,308.058,285.344,265.037,248.655,234.949,221.128,207.726,194.55,181.215,167.941,155.352,143.345,131.581,119.959,108.577,97.707,87.386,77.304,67.364,57.758,47.993,39.914,33.985,27.553,20.556,15.71,13.303,11.003,8.31,5.226,3.425,6.392,,
Angola,587.191,574.855,562.233,549.33,535.538,522.519,509.179,495.514,481.519,467.392,453.333,438.316,421.928,404.776,387.903,371.128,355.325,341.045,327.958,315.094,302.538,291.062,280.919,271.788,263.031,254.701,246.675,238.803,231.08,223.697,216.67,209.371,201.522,193.383,185.515,177.834,170.378,163.229,156.373,149.603,142.827,136.764,131.709,127.281,122.987,119.14,114.32,107.836,100.448,93.424,86.295,80.741,77.655,76.145,74.46,72.998,70.853,67.415,63.155,59.246,55.561,51.666,47.496,43.243,39.066,34.816,31.471,29.497,28.42,27.337,26.475,25.24,23.26,20.847,18.665,16.557,14.713,13.286,12.141,11.01,9.969,8.866,7.606,6.284,5.077,3.935,2.99,2.321,1.855,1.393,1.051,0.82,0.595,0.372,0.219,0.157,0.121,0.084,0.045,0.02,0.026,,
Antigua and Barbuda,0.718,0.726,0.73,0.73,0.732,0.723,0.713,0.702,0.693,0.683,0.674,0.669,0.67,0.676,0.681,0.687,0.695,0.707,0.721,0.736,0.751,0.76,0.759,0.751,0.744,0.736,0.731,0.731,0.734,0.736,0.738,0.739,0.741,0.742,0.744,0.746,0.747,0.746,0.744,0.742,0.739,0.739,0.743,0.749,0.754,0.758,0.76,0.759,0.754,0.749,0.741,0.733,0.722,0.709,0.695,0.68,0.659,0.632,0.599,0.566,0.532,0.5,0.47,0.443,0.415,0.387,0.362,0.342,0.325,0.308,0.293,0.276,0.256,0.235,0.215,0.196,0.178,0.161,0.147,0.133,0.119,0.107,0.097,0.09,0.083,0.077,0.07,0.061,0.051,0.041,0.033,0.027,0.021,0.014,0.01,0.007,0.006,0.004,0.002,0.001,0.001,,
Argentina,365.277,366.879,367.669,367.74,368.356,366.559,364.5,362.262,359.924,357.444,354.779,352.634,351.34,350.604,349.889,349.406,348.588,347.128,345.376,343.708,341.721,341.174,342.872,345.823,348.405,351.157,351.905,349.47,344.937,340.713,336.491,332.164,327.978,324.012,319.621,314.357,311.528,312.53,315.631,318.127,321.063,320.085,312.913,301.768,291.202,280.366,270.625,263.138,257.219,250.834,244.164,238.831,235.366,233.1,230.899,229.066,226.386,222.164,216.972,212.013,206.974,202.303,198.323,194.714,190.827,186.779,182.373,177.439,172.072,166.618,161.104,155.014,148.158,140.797,133.391,125.857,118.549,111.692,105.149,98.548,91.954,85.524,79.294,73.227,67.298,61.572,55.768,49.765,43.728,37.528,32.644,28.425,23.174,16.94,12.477,10.414,8.566,6.342,3.745,2.144,3.198,,
Armenia,18.852,19.449,19.879,20.156,20.131,20.217,20.178,20.026,19.776,19.464,19.127,18.664,18.04,17.34,16.704,16.134,15.705,15.478,15.454,15.489,15.515,16.1,17.483,19.367,21.2,23.063,24.689,25.879,26.728,27.56,28.349,28.736,28.588,28.047,27.426,26.706,25.848,24.879,23.84,22.76,21.648,20.646,19.835,19.182,18.578,18.044,17.686,17.545,17.593,17.694,17.798,18.236,19.134,20.301,21.398,22.47,23.293,23.715,23.805,23.855,23.893,23.395,22.154,20.428,18.665,16.759,15.118,13.982,13.169,12.311,11.55,10.605,9.322,7.901,6.57,5.137,4.492,5.056,6.343,7.538,8.912,9.46,8.632,6.943,5.433,3.864,2.684,2.209,2.188,2.117,1.998,1.772,1.411,0.939,0.578,0.413,0.329,0.244,0.159,0.093,0.211,,
Aruba,0.653,0.604,0.57,0.549,0.522,0.535,0.553,0.574,0.598,0.625,0.656,0.679,0.691,0.694,0.698,0.701,0.706,0.717,0.731,0.741,0.748,0.753,0.756,0.756,0.756,0.759,0.743,0.701,0.643,0.589,0.533,0.5,0.506,0.537,0.565,0.596,0.627,0.651,0.672,0.696,0.724,0.747,0.762,0.773,0.785,0.797,0.809,0.823,0.837,0.849,0.856,0.872,0.901,0.935,0.966,0.997,1.009,0.992,0.955,0.918,0.878,0.839,0.808,0.781,0.75,0.717,0.682,0.645,0.605,0.567,0.528,0.49,0.453,0.417,0.381,0.345,0.315,0.292,0.275,0.259,0.244,0.226,0.203,0.176,0.152,0.128,0.107,0.09,0.075,0.06,0.047,0.039,0.03,0.021,0.014,0.011,0.009,0.007,0.004,0.002,0.004,,
Asia,34707.897,34802.134,34870.989,34916.01,34900.523,34931.675,34937.178,34918.749,34878.105,34824.841,34768.534,34671.568,34519.929,34338.942,34165.205,33988.138,33871.016,33848.047,33891.882,33950.551,34045.953,34126.107,34163.645,34192.786,34210.945,34141.627,34350.909,34995.898,35864.914,36649.775,37484.878,37755.797,37148.766,35973.998,34871.545,33732.613,32716.108,31971.89,31426.755,30815.13,30139.146,29751.949,29786.569,30083.511,30343.058,30616.513,30743.449,30610.798,30281.942,29958.887,29631.887,29094.701,28274.631,27262.728,26234.579,25169.277,24128.23,23164.442,22262.297,21318.698,20312.883,19501.947,18990.34,18650.965,18285.066,17971.741,17386.496,16360.311,15060.51,13822.012,12576.145,11459.406,10572.965,9847.038,9101.756,8362.429,7699.232,7125.711,6618.021,6142.616,5710.775,5257.569,4748.685,4213.367,3716.803,3247.929,2808.739,2407.421,2041.26,1664.066,1355.254,1142.21,914.028,668.459,497.264,413.473,340.138,255.887,160.738,102.057,192.065,,
Asia-Pacific Economic Cooperation (APEC),17810.91,18168.754,18428.754,18601.677,18729.135,18728.787,18684.482,18605.474,18500.99,18377.013,18239.522,18114.068,18016.419,17946.029,17884.814,17834.272,17842.369,17930.572,18081.628,18263.085,18488.966,18725.027,18953.415,19196.492,19433.441,19595.193,20016.535,20838.365,21865.034,22823.7,23845.404,24312.609,23914.76,22965.105,22095.561,21189.47,20463.92,20093.876,19976.206,19791.173,19552.793,19573.368,19960.438,20572.964,21159.813,21768.164,22210.781,22367.924,22315.175,22267.607,22205.887,21977.007,21533.87,20940.76,20320.938,19663.991,19006.725,18384.613,17793.782,17161.425,16461.949,15941.676,15703.099,15622.133,15501.673,15416.513,15063.864,14284.405,13233.477,12230.785,11218.452,10285.159,9509.245,8846.902,8162.117,7465.44,6880.961,6451.57,6125.552,5814.423,5543.22,5217.032,4782,4284.229,3823.96,3381.472,2972.122,2613.715,2294.841,1966.023,1698.866,1476.905,1208.737,895.879,672.839,568.137,471.954,357.163,223.775,142.206,256.069,,
